GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
16594175,6.6823889E10,1.59195415E11,2.67186733E12,1.057286E8,5.797562E7,7.2539754,2.0159895
16598386,3.5085615E10,2.11986579E11,2.96708158E12,8.6844128E7,4.3539096E7,6.3396044,3.053246
16601616,5.2775768E10,2.38122697E11,2.56622041E12,5.43953E7,8347098.5,6.0346475,4.7624283
16604516,5.9194855E10,1.92040403E11,3.26121003E12,1.371236E8,4.4909884E7,6.2670217,0.57408345
16608247,7.2002306E10,1.16232372E11,3.40891428E12,1.18637978E9,1.4751392E8,8.527928,0.08453384
16612430,2.90602168E10,7.3830374E9,4.65071374E11,3.7143036E7,2.3387198E7,5.608761,2.6892905
16614950,9.4187864E10,1.21973711E11,3.1925983E12,1.52193744E8,8.16674E7,7.3447886,0.11150015
16618997,4.6855332E10,1.45801855E11,3.68626002E12,1.69410624E8,8.4704704E7,7.2209,0.60083765
16623393,5.6211272E10,1.22396393E11,2.79360805E12,1.07086312E8,6.2468568E7,6.1676507,0.43961656
16627260,5.4898242E10,2.68617859E11,2.7998324E12,4.5785612E7,1.2528365E7,5.053368,5.336027
16630435,3.02835896E10,5.8006454E10,1.69918294E12,4.6762812E7,1.653855E7,6.0032077,3.1178045
16632265,5.2516327E10,9.7806279E10,2.78820789E12,1.17289576E8,7.0565008E7,8.098586,0.05370165
16636197,4.2558411E10,1.06708943E11,3.10415013E12,1.85348336E8,8.6474064E7,8.949938,0.10352039
16639750,6.8181459E10,2.16398463E11,3.16702248E12,1.28138064E8,7.3075912E7,7.528146,3.3760433
16643442,7.6588868E10,2.83162608E11,3.1462363E12,1.82605744E8,5.8597568E7,6.851326,4.278775
16647246,2.78979502E10,1.1554635E11,1.39859775E12,2.5433612E7,2409952.2,5.4932857,4.0166283
16649035,2.69712077E10,1.73044777E11,2.76461964E12,5.1966096E7,1.5627828E7,6.7859015,2.1848798
16650764,4.6906208E10,1.64022968E10,4.60020253E11,5.0785344E7,1.3815123E7,5.5388007,3.9394443
16653665,5.7741722E10,2.09191813E11,3.55380652E12,2.57168672E8,1.195316E8,6.893528,3.8114078
16657911,5.0794488E10,1.26951817E11,3.78081562E12,2.33711456E8,1.05617408E8,9.146419,0.0045764856
16662840,4.7227122E10,1.12997114E11,1.64425079E12,2.9834982E7,9239536.0,6.248561,3.387832
16664982,8.5474099E10,1.83194993E11,3.28803628E12,1.205842E8,7.71172E7,7.214994,0.260239
16668993,8.2964414E10,1.71604558E11,3.24450543E12,1.2974468E8,7.1337704E7,7.3946195,0.7224089
16673538,3.8856167E10,1.35880925E11,3.52703821E12,1.52393472E8,1.07887032E8,9.930944,0.10999701
16677355,5.4800343E10,1.59395021E11,2.88364587E12,1.05532848E8,5.462958E7,7.3373466,0.46935782
16680963,3.8355849E10,1.31866296E11,2.71372098E12,8.8258664E7,5.6882176E7,7.163871,0.63001883
16684540,3.7520155E10,1.63803431E11,3.80367667E12,1.758164E8,1.25315536E8,9.115245,0.09698466
16689344,5.2509536E10,1.13915568E11,2.34012253E12,1.43415072E8,6.6662064E7,8.033121,1.3839798
16692291,5.6026022E10,8.7955423E10,2.82468077E12,1.65588992E8,7.5124688E7,7.0152025,0.028386768
16696731,4.8598303E10,1.69048457E11,2.86584603E12,1.2295452E8,6.372636E7,6.4171095,1.9777436
16699988,2.00863109E10,1.84175034E11,2.10224467E12,3.6621192E7,1.7024822E7,6.7140703,2.010285
16701964,7.1369089E10,1.69971679E11,4.19070345E12,2.4228008E8,1.1481604E8,7.749412,0.13521303
16707700,4.5352931E10,1.19212491E11,2.63973818E12,1.07440344E8,6.6038644E7,7.650424,0.9547094
16710871,9.9048325E10,1.87501576E11,3.42365045E12,1.5037464E8,7.7646848E7,7.0986676,1.5739706
16715859,3.27550095E10,5.2909502E10,1.23439271E12,3.8492844E7,7348169.0,5.2862496,2.6090837
16718087,3.9664517E10,6.2172381E10,1.40392032E12,3.998632E7,2.095354E7,6.706717,2.0990934
16720414,6.3682331E10,3.11000617E10,1.97626744E12,7.1703936E7,1.4350608E7,6.4008794,3.7814841
